ID,COUNTY_NAM,COUNTY_FIP,Percent Of Farms With Milk Cows,Yearly Production Per Cow (Thousands $),Cows Per Capita,Active Selling Dairy Farms Per Capita,Total Farms Per Capita
0,"Adams",A,5.111821086,3.474940334,0.040099531,0.000765624,0.01497751
1,"Ashland",B,8.021390374,3.758274824,0.123751009,0.000930925,0.011605536
2,"Barron",C,21.10438729,3.877286907,0.517021926,0.006080816,0.028813042
3,"Bayfield",D,8.806818182,3.029680365,0.116195782,0.002055976,0.023345271
4,"Brown",E,17.73177318,4.256895158,0.179152282,0.000792674,0.004470357
5,"Buffalo",F,13.57210179,3.745448617,1.358608978,0.010632014,0.078337271
6,"Burnett",G,8.374384236,4.150458173,0.217864503,0.002189593,0.026146316
7,"Calumet",H,20.30598053,4.105549294,0.616135621,0.002982026,0.014685458
8,"Chippewa",I,20.48947069,3.640521074,0.465299381,0.005772746,0.028174209
9,"Clark",J,39.96547259,3.688879273,2.069950881,0.026755273,0.066945969
10,"Columbia",K,8.31202046,4.000646538,0.273287865,0.002296982,0.027634462
11,"Crawford",L,10.95022624,No Data,0.446123403,0.007255502,0.066258919
12,"Dane",M,10.65842124,4.110107363,0.10180697,0.000597497,0.005605868
13,"Dodge",N,15.15904573,3.99873998,0.420335583,0.003436968,0.022672722
14,"Door",O,9.339975093,3.903081914,0.353903559,0.002690873,0.028810276
15,"Douglas",P,2.472527473,2.126609442,0.010599823,0.000204718,0.00827969
16,"Dunn",Q,13.81766382,3.952926209,0.48465333,0.004430438,0.032063579
17,"Eau Claire",R,12.26199543,3.485208875,0.101119735,0.001627051,0.01326906
18,"Florence",S,3.333333333,No Data,0,0.000668747,0.020062416
19,"Fond du Lac",T,20.87205147,4.285908793,0.585673922,0.002874667,0.013772803
20,"Forest",U,1.57480315,No Data,0,0.000213652,0.013566927
21,"Grant",V,18.4318555,3.545796927,0.910116541,0.008794437,0.04771325
22,"Green",W,17.86407767,3.663058789,0.733097826,0.0075,0.041983696
23,"Green Lake",X,14.47368421,4.090870905,0.374632816,0.00461603,0.031892572
24,"Iowa",Y,13.60201511,3.484059273,0.93918691,0.009109312,0.06697031
25,"Iron",Z,6.557377049,No Data,0.142689863,0.00066912,0.010204082
26,"Jackson",AA,17.82407407,3.47580859,0.738304952,0.007535721,0.042278332
27,"Jefferson",BB,8.979591837,4.202310879,0.164308486,0.001313417,0.014626691
28,"Juneau",CC,9.673518742,3.327523871,0.40399236,0.002996142,0.030972623
29,"Kenosha",DD,7.242339833,3.863993025,0.020682442,0.000156275,0.002157802
30,"Kewaunee",EE,26.56675749,4.192137137,2.200339806,0.009466019,0.035631068
31,"La Crosse",FF,14.17112299,3.597232338,0.083779355,0.000924005,0.006520337
32,"Lafayette",GG,20.92651757,3.6729266,1.831254455,0.015561891,0.074364457
33,"Langlade",HH,14.64646465,4.580205656,0.389955391,0.002907122,0.019848629
34,"Lincoln",II,10.69042316,3.538161424,0.142842215,0.001671891,0.01563915
35,"Manitowoc",JJ,21.6503268,4.306388328,0.646051239,0.003260896,0.015061649
36,"Marathon",KK,29.92056487,3.915756141,0.475906626,0.005058154,0.016905275
37,"Marinette",LL,13.8317757,4.161331723,0.317619413,0.00177441,0.012828506
38,"Marquette",MM,9.832635983,4.228704784,0.390407393,0.003058701,0.03110764
39,"Menominee",NN,0,No Data,0,0,0.001169864
40,"Milwaukee",OO,0,No Data,0,0,8.66E-05
41,"Monroe",PP,18.27622015,3.687129551,0.528246187,0.007872255,0.043073758
42,"Oconto",QQ,16.79224973,3.961157806,0.53430591,0.004145408,0.024686437
43,"Oneida",RR,0,No Data,0,0,0.004163313
44,"Outagamie",SS,19.23076923,3.854617671,0.215056257,0.00127279,0.006618508
45,"Ozaukee",TT,15.625,3.95526561,0.099318516,0.000752062,0.004813199
46,"Pepin",UU,14.59694989,4.102411235,1.012067578,0.008983642,0.06154465
47,"Pierce",VV,13.74106434,4.057564254,0.393443024,0.004235836,0.03082611
48,"Polk",WW,11.50038081,4.055288157,0.358098608,0.003424502,0.029777294
49,"Portage",XX,14.13828689,3.663264523,0.186085367,0.001956388,0.01383752
50,"Price",YY,12.71186441,3.955426357,0.32840676,0.004242981,0.03337812
51,"Racine",ZZ,5.217391304,3.850585336,0.016644105,0.000153827,0.002948355
52,"Richland",AAA,11.9047619,3.824418275,0.782241953,0.008324084,0.069922309
53,"Rock",BBB,6.693174288,4.052202845,0.108708124,0.000629849,0.009410312
54,"Rusk",CCC,29.11153119,3.301718345,0.710088616,0.010497614,0.036059986
55,"St. Croix",DDD,11.29146083,4.011956343,0.216125553,0.001896566,0.016796463
56,"Sauk",EEE,13.33333333,3.664082789,0.410214195,0.003583362,0.026875212
57,"Sawyer",FFF,10.46511628,3.802608994,0.175693607,0.001085645,0.010373945
58,"Shawano",GGG,26.76056338,4.111013578,0.871712099,0.008177905,0.030559541
59,"Sheboygan",HHH,16.8356998,4.132283763,0.228468412,0.001438762,0.008545897
60,"Taylor",III,26.26680455,3.410058147,0.783578111,0.01231157,0.046871213
61,"Trempealeau",JJJ,13.09192201,3.658353998,0.740754861,0.006515787,0.049769521
62,"Vernon",KKK,19.43447038,3.264589408,0.770409361,0.014517048,0.074697422
63,"Vilas",LLL,0,No Data,0,0,0.002187166
64,"Walworth",MMM,9.310344828,4.269517885,0.125696413,0.000791711,0.008503568
65,"Washburn",NNN,7.160493827,4.298163345,0.161014283,0.001824703,0.025482917
66,"Washington",OOO,14.60674157,3.754295177,0.109928701,0.000788835,0.005400485
