"STCOFIPS","STFIPS","COFIPS","GEO","ITEM","DATA"
"55001","55","001","Wisconsin\Adams","Inventory \ Cattle and calves \ Cows and heifers that calved \ Milk cows (number, 2012)",838
"55003","55","003","Wisconsin\Ashland","Inventory \ Cattle and calves \ Cows and heifers that calved \ Milk cows (number, 2012)",1994
"55005","55","005","Wisconsin\Barron","Inventory \ Cattle and calves \ Cows and heifers that calved \ Milk cows (number, 2012)",23722
"55007","55","007","Wisconsin\Bayfield","Inventory \ Cattle and calves \ Cows and heifers that calved \ Milk cows (number, 2012)",1752
"55009","55","009","Wisconsin\Brown","Inventory \ Cattle and calves \ Cows and heifers that calved \ Milk cows (number, 2012)",44524
"55011","55","011","Wisconsin\Buffalo","Inventory \ Cattle and calves \ Cows and heifers that calved \ Milk cows (number, 2012)",18401
"55013","55","013","Wisconsin\Burnett","Inventory \ Cattle and calves \ Cows and heifers that calved \ Milk cows (number, 2012)",3383
"55015","55","015","Wisconsin\Calumet","Inventory \ Cattle and calves \ Cows and heifers that calved \ Milk cows (number, 2012)",30166
"55017","55","017","Wisconsin\Chippewa","Inventory \ Cattle and calves \ Cows and heifers that calved \ Milk cows (number, 2012)",29017
"55019","55","019","Wisconsin\Clark","Inventory \ Cattle and calves \ Cows and heifers that calved \ Milk cows (number, 2012)",71641
"55021","55","021","Wisconsin\Columbia","Inventory \ Cattle and calves \ Cows and heifers that calved \ Milk cows (number, 2012)",15467
"55023","55","023","Wisconsin\Crawford","Inventory \ Cattle and calves \ Cows and heifers that calved \ Milk cows (number, 2012)",7440
"55025","55","025","Wisconsin\Dane","Inventory \ Cattle and calves \ Cows and heifers that calved \ Milk cows (number, 2012)",49924
"55027","55","027","Wisconsin\Dodge","Inventory \ Cattle and calves \ Cows and heifers that calved \ Milk cows (number, 2012)",37301
"55029","55","029","Wisconsin\Door","Inventory \ Cattle and calves \ Cows and heifers that calved \ Milk cows (number, 2012)",9864
"55031","55","031","Wisconsin\Douglas","Inventory \ Cattle and calves \ Cows and heifers that calved \ Milk cows (number, 2012)",466
"55033","55","033","Wisconsin\Dunn","Inventory \ Cattle and calves \ Cows and heifers that calved \ Milk cows (number, 2012)",21222
"55035","55","035","Wisconsin\Eau Claire","Inventory \ Cattle and calves \ Cows and heifers that calved \ Milk cows (number, 2012)",10006
"55037","55","037","Wisconsin\Florence","Inventory \ Cattle and calves \ Cows and heifers that calved \ Milk cows (number, 2012)","(D)"
"55039","55","039","Wisconsin\Fond du Lac","Inventory \ Cattle and calves \ Cows and heifers that calved \ Milk cows (number, 2012)",59491
"55041","55","041","Wisconsin\Forest","Inventory \ Cattle and calves \ Cows and heifers that calved \ Milk cows (number, 2012)","(D)"
"55043","55","043","Wisconsin\Grant","Inventory \ Cattle and calves \ Cows and heifers that calved \ Milk cows (number, 2012)",46466
"55045","55","045","Wisconsin\Green","Inventory \ Cattle and calves \ Cows and heifers that calved \ Milk cows (number, 2012)",26978
"55047","55","047","Wisconsin\Green Lake","Inventory \ Cattle and calves \ Cows and heifers that calved \ Milk cows (number, 2012)",7142
"55049","55","049","Wisconsin\Iowa","Inventory \ Cattle and calves \ Cows and heifers that calved \ Milk cows (number, 2012)",22270
"55051","55","051","Wisconsin\Iron","Inventory \ Cattle and calves \ Cows and heifers that calved \ Milk cows (number, 2012)",853
"55053","55","053","Wisconsin\Jackson","Inventory \ Cattle and calves \ Cows and heifers that calved \ Milk cows (number, 2012)",15088
"55055","55","055","Wisconsin\Jefferson","Inventory \ Cattle and calves \ Cows and heifers that calved \ Milk cows (number, 2012)",13761
"55057","55","057","Wisconsin\Juneau","Inventory \ Cattle and calves \ Cows and heifers that calved \ Milk cows (number, 2012)",10787
"55059","55","059","Wisconsin\Kenosha","Inventory \ Cattle and calves \ Cows and heifers that calved \ Milk cows (number, 2012)",3441
"55061","55","061","Wisconsin\Kewaunee","Inventory \ Cattle and calves \ Cows and heifers that calved \ Milk cows (number, 2012)",45327
"55063","55","063","Wisconsin\La Crosse","Inventory \ Cattle and calves \ Cows and heifers that calved \ Milk cows (number, 2012)",9611
"55065","55","065","Wisconsin\Lafayette","Inventory \ Cattle and calves \ Cows and heifers that calved \ Milk cows (number, 2012)",30831
