"STCOFIPS","STFIPS","COFIPS","GEO","ITEM","DATA"
"55001","55","001","Wisconsin\Adams","Inventory \ Cattle and calves \ Cows and heifers that calved \ Milk cows (farms, 2012)",17
"55003","55","003","Wisconsin\Ashland","Inventory \ Cattle and calves \ Cows and heifers that calved \ Milk cows (farms, 2012)",15
"55005","55","005","Wisconsin\Barron","Inventory \ Cattle and calves \ Cows and heifers that calved \ Milk cows (farms, 2012)",264
"55007","55","007","Wisconsin\Bayfield","Inventory \ Cattle and calves \ Cows and heifers that calved \ Milk cows (farms, 2012)",35
"55009","55","009","Wisconsin\Brown","Inventory \ Cattle and calves \ Cows and heifers that calved \ Milk cows (farms, 2012)",194
"55011","55","011","Wisconsin\Buffalo","Inventory \ Cattle and calves \ Cows and heifers that calved \ Milk cows (farms, 2012)",143
"55013","55","013","Wisconsin\Burnett","Inventory \ Cattle and calves \ Cows and heifers that calved \ Milk cows (farms, 2012)",35
"55015","55","015","Wisconsin\Calumet","Inventory \ Cattle and calves \ Cows and heifers that calved \ Milk cows (farms, 2012)",144
"55017","55","017","Wisconsin\Chippewa","Inventory \ Cattle and calves \ Cows and heifers that calved \ Milk cows (farms, 2012)",365
"55019","55","019","Wisconsin\Clark","Inventory \ Cattle and calves \ Cows and heifers that calved \ Milk cows (farms, 2012)",948
"55021","55","021","Wisconsin\Columbia","Inventory \ Cattle and calves \ Cows and heifers that calved \ Milk cows (farms, 2012)",143
"55023","55","023","Wisconsin\Crawford","Inventory \ Cattle and calves \ Cows and heifers that calved \ Milk cows (farms, 2012)",121
"55025","55","025","Wisconsin\Dane","Inventory \ Cattle and calves \ Cows and heifers that calved \ Milk cows (farms, 2012)",304
"55027","55","027","Wisconsin\Dodge","Inventory \ Cattle and calves \ Cows and heifers that calved \ Milk cows (farms, 2012)",308
"55029","55","029","Wisconsin\Door","Inventory \ Cattle and calves \ Cows and heifers that calved \ Milk cows (farms, 2012)",72
"55031","55","031","Wisconsin\Douglas","Inventory \ Cattle and calves \ Cows and heifers that calved \ Milk cows (farms, 2012)",11
"55033","55","033","Wisconsin\Dunn","Inventory \ Cattle and calves \ Cows and heifers that calved \ Milk cows (farms, 2012)",199
"55035","55","035","Wisconsin\Eau Claire","Inventory \ Cattle and calves \ Cows and heifers that calved \ Milk cows (farms, 2012)",169
"55037","55","037","Wisconsin\Florence","Inventory \ Cattle and calves \ Cows and heifers that calved \ Milk cows (farms, 2012)",6
"55039","55","039","Wisconsin\Fond du Lac","Inventory \ Cattle and calves \ Cows and heifers that calved \ Milk cows (farms, 2012)",290
"55041","55","041","Wisconsin\Forest","Inventory \ Cattle and calves \ Cows and heifers that calved \ Milk cows (farms, 2012)",2
"55043","55","043","Wisconsin\Grant","Inventory \ Cattle and calves \ Cows and heifers that calved \ Milk cows (farms, 2012)",464
"55045","55","045","Wisconsin\Green","Inventory \ Cattle and calves \ Cows and heifers that calved \ Milk cows (farms, 2012)",285
"55047","55","047","Wisconsin\Green Lake","Inventory \ Cattle and calves \ Cows and heifers that calved \ Milk cows (farms, 2012)",93
"55049","55","049","Wisconsin\Iowa","Inventory \ Cattle and calves \ Cows and heifers that calved \ Milk cows (farms, 2012)",224
"55051","55","051","Wisconsin\Iron","Inventory \ Cattle and calves \ Cows and heifers that calved \ Milk cows (farms, 2012)",6
"55053","55","053","Wisconsin\Jackson","Inventory \ Cattle and calves \ Cows and heifers that calved \ Milk cows (farms, 2012)",160
"55055","55","055","Wisconsin\Jefferson","Inventory \ Cattle and calves \ Cows and heifers that calved \ Milk cows (farms, 2012)",112
