"STCOFIPS","STFIPS","COFIPS","GEO","ITEM","DATA"
"55001","55","001","Wisconsin\Adams","Sales \ Milk from cows (see text) (farms, 2012)",16
"55003","55","003","Wisconsin\Ashland","Sales \ Milk from cows (see text) (farms, 2012)",15
"55005","55","005","Wisconsin\Barron","Sales \ Milk from cows (see text) (farms, 2012)",279
"55007","55","007","Wisconsin\Bayfield","Sales \ Milk from cows (see text) (farms, 2012)",31
"55009","55","009","Wisconsin\Brown","Sales \ Milk from cows (see text) (farms, 2012)",197
"55011","55","011","Wisconsin\Buffalo","Sales \ Milk from cows (see text) (farms, 2012)",144
"55013","55","013","Wisconsin\Burnett","Sales \ Milk from cows (see text) (farms, 2012)",34
"55015","55","015","Wisconsin\Calumet","Sales \ Milk from cows (see text) (farms, 2012)",146
"55017","55","017","Wisconsin\Chippewa","Sales \ Milk from cows (see text) (farms, 2012)",360
"55019","55","019","Wisconsin\Clark","Sales \ Milk from cows (see text) (farms, 2012)",926
"55021","55","021","Wisconsin\Columbia","Sales \ Milk from cows (see text) (farms, 2012)",130
"55023","55","023","Wisconsin\Crawford","Sales \ Milk from cows (see text) (farms, 2012)",121
"55025","55","025","Wisconsin\Dane","Sales \ Milk from cows (see text) (farms, 2012)",293
"55027","55","027","Wisconsin\Dodge","Sales \ Milk from cows (see text) (farms, 2012)",305
"55029","55","029","Wisconsin\Door","Sales \ Milk from cows (see text) (farms, 2012)",75
"55031","55","031","Wisconsin\Douglas","Sales \ Milk from cows (see text) (farms, 2012)",9
"55033","55","033","Wisconsin\Dunn","Sales \ Milk from cows (see text) (farms, 2012)",194
"55035","55","035","Wisconsin\Eau Claire","Sales \ Milk from cows (see text) (farms, 2012)",161
"55037","55","037","Wisconsin\Florence","Sales \ Milk from cows (see text) (farms, 2012)",3
"55039","55","039","Wisconsin\Fond du Lac","Sales \ Milk from cows (see text) (farms, 2012)",292
"55041","55","041","Wisconsin\Forest","Sales \ Milk from cows (see text) (farms, 2012)",2
"55043","55","043","Wisconsin\Grant","Sales \ Milk from cows (see text) (farms, 2012)",449
"55045","55","045","Wisconsin\Green","Sales \ Milk from cows (see text) (farms, 2012)",276
"55047","55","047","Wisconsin\Green Lake","Sales \ Milk from cows (see text) (farms, 2012)",88
"55049","55","049","Wisconsin\Iowa","Sales \ Milk from cows (see text) (farms, 2012)",216
"55051","55","051","Wisconsin\Iron","Sales \ Milk from cows (see text) (farms, 2012)",4
"55053","55","053","Wisconsin\Jackson","Sales \ Milk from cows (see text) (farms, 2012)",154
"55055","55","055","Wisconsin\Jefferson","Sales \ Milk from cows (see text) (farms, 2012)",110
"55057","55","057","Wisconsin\Juneau","Sales \ Milk from cows (see text) (farms, 2012)",80
"55059","55","059","Wisconsin\Kenosha","Sales \ Milk from cows (see text) (farms, 2012)",26
"55061","55","061","Wisconsin\Kewaunee","Sales \ Milk from cows (see text) (farms, 2012)",195
"55063","55","063","Wisconsin\La Crosse","Sales \ Milk from cows (see text) (farms, 2012)",106
"55065","55","065","Wisconsin\Lafayette","Sales \ Milk from cows (see text) (farms, 2012)",262
"55067","55","067","Wisconsin\Langlade","Sales \ Milk from cows (see text) (farms, 2012)",58
"55069","55","069","Wisconsin\Lincoln","Sales \ Milk from cows (see text) (farms, 2012)",48
"55071","55","071","Wisconsin\Manitowoc","Sales \ Milk from cows (see text) (farms, 2012)",265
"55073","55","073","Wisconsin\Marathon","Sales \ Milk from cows (see text) (farms, 2012)",678
"55075","55","075","Wisconsin\Marinette","Sales \ Milk from cows (see text) (farms, 2012)",74
"55077","55","077","Wisconsin\Marquette","Sales \ Milk from cows (see text) (farms, 2012)",47
"55078","55","078","Wisconsin\Menominee","Sales \ Milk from cows (see text) (farms, 2012)","-"
"55079","55","079","Wisconsin\Milwaukee","Sales \ Milk from cows (see text) (farms, 2012)","-"
"55081","55","081","Wisconsin\Monroe","Sales \ Milk from cows (see text) (farms, 2012)",352
"55083","55","083","Wisconsin\Oconto","Sales \ Milk from cows (see text) (farms, 2012)",156
"55085","55","085","Wisconsin\Oneida","Sales \ Milk from cows (see text) (farms, 2012)","-"
"55087","55","087","Wisconsin\Outagamie","Sales \ Milk from cows (see text) (farms, 2012)",225
"55089","55","089","Wisconsin\Ozaukee","Sales \ Milk from cows (see text) (farms, 2012)",65
"55091","55","091","Wisconsin\Pepin","Sales \ Milk from cows (see text) (farms, 2012)",67
"55093","55","093","Wisconsin\Pierce","Sales \ Milk from cows (see text) (farms, 2012)",173
"55095","55","095","Wisconsin\Polk","Sales \ Milk from cows (see text) (farms, 2012)",151
"55097","55","097","Wisconsin\Portage","Sales \ Milk from cows (see text) (farms, 2012)",137
"55099","55","099","Wisconsin\Price","Sales \ Milk from cows (see text) (farms, 2012)",60
"55101","55","101","Wisconsin\Racine","Sales \ Milk from cows (see text) (farms, 2012)",30
"55103","55","103","Wisconsin\Richland","Sales \ Milk from cows (see text) (farms, 2012)",150
"55105","55","105","Wisconsin\Rock","Sales \ Milk from cows (see text) (farms, 2012)",101
"55107","55","107","Wisconsin\Rusk","Sales \ Milk from cows (see text) (farms, 2012)",154
"55109","55","109","Wisconsin\St. Croix","Sales \ Milk from cows (see text) (farms, 2012)",160
"55111","55","111","Wisconsin\Sauk","Sales \ Milk from cows (see text) (farms, 2012)",222
"55113","55","113","Wisconsin\Sawyer","Sales \ Milk from cows (see text) (farms, 2012)",18
"55115","55","115","Wisconsin\Shawano","Sales \ Milk from cows (see text) (farms, 2012)",342
"55117","55","117","Wisconsin\Sheboygan","Sales \ Milk from cows (see text) (farms, 2012)",166
"55119","55","119","Wisconsin\Taylor","Sales \ Milk from cows (see text) (farms, 2012)",254
"55121","55","121","Wisconsin\Trempealeau","Sales \ Milk from cows (see text) (farms, 2012)",188
"55123","55","123","Wisconsin\Vernon","Sales \ Milk from cows (see text) (farms, 2012)",433
"55125","55","125","Wisconsin\Vilas","Sales \ Milk from cows (see text) (farms, 2012)","-"
"55127","55","127","Wisconsin\Walworth","Sales \ Milk from cows (see text) (farms, 2012)",81
"55129","55","129","Wisconsin\Washburn","Sales \ Milk from cows (see text) (farms, 2012)",29
"55131","55","131","Wisconsin\Washington","Sales \ Milk from cows (see text) (farms, 2012)",104
