"STCOFIPS","STFIPS","COFIPS","GEO","ITEM","DATA"
"55001","55","001","Wisconsin\Adams","Sales \ Milk from cows (see text) ($1,000, 2012)",2912
"55003","55","003","Wisconsin\Ashland","Sales \ Milk from cows (see text) ($1,000, 2012)",7494
"55005","55","005","Wisconsin\Barron","Sales \ Milk from cows (see text) ($1,000, 2012)",91977
"55007","55","007","Wisconsin\Bayfield","Sales \ Milk from cows (see text) ($1,000, 2012)",5308
"55009","55","009","Wisconsin\Brown","Sales \ Milk from cows (see text) ($1,000, 2012)",189534
"55011","55","011","Wisconsin\Buffalo","Sales \ Milk from cows (see text) ($1,000, 2012)",68920
"55013","55","013","Wisconsin\Burnett","Sales \ Milk from cows (see text) ($1,000, 2012)",14041
"55015","55","015","Wisconsin\Calumet","Sales \ Milk from cows (see text) ($1,000, 2012)",123848
"55017","55","017","Wisconsin\Chippewa","Sales \ Milk from cows (see text) ($1,000, 2012)",105637
"55019","55","019","Wisconsin\Clark","Sales \ Milk from cows (see text) ($1,000, 2012)",264275
"55021","55","021","Wisconsin\Columbia","Sales \ Milk from cows (see text) ($1,000, 2012)",61878
"55023","55","023","Wisconsin\Crawford","Sales \ Milk from cows (see text) ($1,000, 2012)","(D)"
"55025","55","025","Wisconsin\Dane","Sales \ Milk from cows (see text) ($1,000, 2012)",205193
"55027","55","027","Wisconsin\Dodge","Sales \ Milk from cows (see text) ($1,000, 2012)",149157
"55029","55","029","Wisconsin\Door","Sales \ Milk from cows (see text) ($1,000, 2012)",38500
"55031","55","031","Wisconsin\Douglas","Sales \ Milk from cows (see text) ($1,000, 2012)",991
"55033","55","033","Wisconsin\Dunn","Sales \ Milk from cows (see text) ($1,000, 2012)",83889
"55035","55","035","Wisconsin\Eau Claire","Sales \ Milk from cows (see text) ($1,000, 2012)",34873
"55037","55","037","Wisconsin\Florence","Sales \ Milk from cows (see text) ($1,000, 2012)","(D)"
"55039","55","039","Wisconsin\Fond du Lac","Sales \ Milk from cows (see text) ($1,000, 2012)",254973
"55041","55","041","Wisconsin\Forest","Sales \ Milk from cows (see text) ($1,000, 2012)","(D)"
"55043","55","043","Wisconsin\Grant","Sales \ Milk from cows (see text) ($1,000, 2012)",164759
"55045","55","045","Wisconsin\Green","Sales \ Milk from cows (see text) ($1,000, 2012)",98822
"55047","55","047","Wisconsin\Green Lake","Sales \ Milk from cows (see text) ($1,000, 2012)",29217
"55049","55","049","Wisconsin\Iowa","Sales \ Milk from cows (see text) ($1,000, 2012)",77590
"55051","55","051","Wisconsin\Iron","Sales \ Milk from cows (see text) ($1,000, 2012)","(D)"
"55053","55","053","Wisconsin\Jackson","Sales \ Milk from cows (see text) ($1,000, 2012)",52443
"55055","55","055","Wisconsin\Jefferson","Sales \ Milk from cows (see text) ($1,000, 2012)",57828
"55057","55","057","Wisconsin\Juneau","Sales \ Milk from cows (see text) ($1,000, 2012)",35894
"55059","55","059","Wisconsin\Kenosha","Sales \ Milk from cows (see text) ($1,000, 2012)",13296
"55061","55","061","Wisconsin\Kewaunee","Sales \ Milk from cows (see text) ($1,000, 2012)",190017
"55063","55","063","Wisconsin\La Crosse","Sales \ Milk from cows (see text) ($1,000, 2012)",34573
"55065","55","065","Wisconsin\Lafayette","Sales \ Milk from cows (see text) ($1,000, 2012)",113240
"55067","55","067","Wisconsin\Langlade","Sales \ Milk from cows (see text) ($1,000, 2012)",35634
"55069","55","069","Wisconsin\Lincoln","Sales \ Milk from cows (see text) ($1,000, 2012)",14510
"55071","55","071","Wisconsin\Manitowoc","Sales \ Milk from cows (see text) ($1,000, 2012)",226094
"55073","55","073","Wisconsin\Marathon","Sales \ Milk from cows (see text) ($1,000, 2012)",249790
"55075","55","075","Wisconsin\Marinette","Sales \ Milk from cows (see text) ($1,000, 2012)",55121
"55077","55","077","Wisconsin\Marquette","Sales \ Milk from cows (see text) ($1,000, 2012)",25368
"55078","55","078","Wisconsin\Menominee","Sales \ Milk from cows (see text) ($1,000, 2012)","-"
"55079","55","079","Wisconsin\Milwaukee","Sales \ Milk from cows (see text) ($1,000, 2012)","-"
"55081","55","081","Wisconsin\Monroe","Sales \ Milk from cows (see text) ($1,000, 2012)",87090
"55083","55","083","Wisconsin\Oconto","Sales \ Milk from cows (see text) ($1,000, 2012)",79647
"55085","55","085","Wisconsin\Oneida","Sales \ Milk from cows (see text) ($1,000, 2012)","-"
"55087","55","087","Wisconsin\Outagamie","Sales \ Milk from cows (see text) ($1,000, 2012)",146541
"55089","55","089","Wisconsin\Ozaukee","Sales \ Milk from cows (see text) ($1,000, 2012)",33952
"55091","55","091","Wisconsin\Pepin","Sales \ Milk from cows (see text) ($1,000, 2012)",30965
"55093","55","093","Wisconsin\Pierce","Sales \ Milk from cows (see text) ($1,000, 2012)",65201
"55095","55","095","Wisconsin\Polk","Sales \ Milk from cows (see text) ($1,000, 2012)",64033
"55097","55","097","Wisconsin\Portage","Sales \ Milk from cows (see text) ($1,000, 2012)",47736
"55099","55","099","Wisconsin\Price","Sales \ Milk from cows (see text) ($1,000, 2012)",18369
"55101","55","101","Wisconsin\Racine","Sales \ Milk from cows (see text) ($1,000, 2012)",12499
"55103","55","103","Wisconsin\Richland","Sales \ Milk from cows (see text) ($1,000, 2012)",53909
"55105","55","105","Wisconsin\Rock","Sales \ Milk from cows (see text) ($1,000, 2012)",70638
"55107","55","107","Wisconsin\Rusk","Sales \ Milk from cows (see text) ($1,000, 2012)",34394
"55109","55","109","Wisconsin\St. Croix","Sales \ Milk from cows (see text) ($1,000, 2012)",73150
"55111","55","111","Wisconsin\Sauk","Sales \ Milk from cows (see text) ($1,000, 2012)",93119
"55113","55","113","Wisconsin\Sawyer","Sales \ Milk from cows (see text) ($1,000, 2012)",11077
"55115","55","115","Wisconsin\Shawano","Sales \ Milk from cows (see text) ($1,000, 2012)",149867
"55117","55","117","Wisconsin\Sheboygan","Sales \ Milk from cows (see text) ($1,000, 2012)",108927
"55119","55","119","Wisconsin\Taylor","Sales \ Milk from cows (see text) ($1,000, 2012)",55127
"55121","55","121","Wisconsin\Trempealeau","Sales \ Milk from cows (see text) ($1,000, 2012)",78190
"55123","55","123","Wisconsin\Vernon","Sales \ Milk from cows (see text) ($1,000, 2012)",75017
"55125","55","125","Wisconsin\Vilas","Sales \ Milk from cows (see text) ($1,000, 2012)","-"
"55127","55","127","Wisconsin\Walworth","Sales \ Milk from cows (see text) ($1,000, 2012)",54906
"55129","55","129","Wisconsin\Washburn","Sales \ Milk from cows (see text) ($1,000, 2012)",10999
"55131","55","131","Wisconsin\Washington","Sales \ Milk from cows (see text) ($1,000, 2012)",54411
"55133","55","133","Wisconsin\Waukesha","Sales \ Milk from cows (see text) ($1,000, 2012)",7860
"55135","55","135","Wisconsin\Waupaca","Sales \ Milk from cows (see text) ($1,000, 2012)",89989
"55137","55","137","Wisconsin\Waushara","Sales \ Milk from cows (see text) ($1,000, 2012)",18480
"55139","55","139","Wisconsin\Winnebago","Sales \ Milk from cows (see text) ($1,000, 2012)",60023
"55141","55","141","Wisconsin\Wood","Sales \ Milk from cows (see text) ($1,000, 2012)",62014
