"STCOFIPS","STFIPS","COFIPS","GEO","ITEM","DATA"
"55001","55","001","Wisconsin\Adams","Farms (number)",313
"55003","55","003","Wisconsin\Ashland","Farms (number)",187
"55005","55","005","Wisconsin\Barron","Farms (number)",1322
"55007","55","007","Wisconsin\Bayfield","Farms (number)",352
"55009","55","009","Wisconsin\Brown","Farms (number)",1111
"55011","55","011","Wisconsin\Buffalo","Farms (number)",1061
"55013","55","013","Wisconsin\Burnett","Farms (number)",406
"55015","55","015","Wisconsin\Calumet","Farms (number)",719
"55017","55","017","Wisconsin\Chippewa","Farms (number)",1757
"55019","55","019","Wisconsin\Clark","Farms (number)",2317
"55021","55","021","Wisconsin\Columbia","Farms (number)",1564
"55023","55","023","Wisconsin\Crawford","Farms (number)",1105
"55025","55","025","Wisconsin\Dane","Farms (number)",2749
"55027","55","027","Wisconsin\Dodge","Farms (number)",2012
"55029","55","029","Wisconsin\Door","Farms (number)",803
"55031","55","031","Wisconsin\Douglas","Farms (number)",364
"55033","55","033","Wisconsin\Dunn","Farms (number)",1404
"55035","55","035","Wisconsin\Eau Claire","Farms (number)",1313
"55037","55","037","Wisconsin\Florence","Farms (number)",90
"55039","55","039","Wisconsin\Fond du Lac","Farms (number)",1399
"55041","55","041","Wisconsin\Forest","Farms (number)",127
"55043","55","043","Wisconsin\Grant","Farms (number)",2436
"55045","55","045","Wisconsin\Green","Farms (number)",1545
"55047","55","047","Wisconsin\Green Lake","Farms (number)",608
"55049","55","049","Wisconsin\Iowa","Farms (number)",1588
"55051","55","051","Wisconsin\Iron","Farms (number)",61
"55053","55","053","Wisconsin\Jackson","Farms (number)",864
"55055","55","055","Wisconsin\Jefferson","Farms (number)",1225
"55057","55","057","Wisconsin\Juneau","Farms (number)",827
"55059","55","059","Wisconsin\Kenosha","Farms (number)",359
"55061","55","061","Wisconsin\Kewaunee","Farms (number)",734
"55063","55","063","Wisconsin\La Crosse","Farms (number)",748
"55065","55","065","Wisconsin\Lafayette","Farms (number)",1252
"55067","55","067","Wisconsin\Langlade","Farms (number)",396
"55069","55","069","Wisconsin\Lincoln","Farms (number)",449
"55071","55","071","Wisconsin\Manitowoc","Farms (number)",1224
"55073","55","073","Wisconsin\Marathon","Farms (number)",2266
"55075","55","075","Wisconsin\Marinette","Farms (number)",535
"55077","55","077","Wisconsin\Marquette","Farms (number)",478
"55078","55","078","Wisconsin\Menominee","Farms (number)",5
"55079","55","079","Wisconsin\Milwaukee","Farms (number)",82
"55081","55","081","Wisconsin\Monroe","Farms (number)",1926
"55083","55","083","Wisconsin\Oconto","Farms (number)",929
"55085","55","085","Wisconsin\Oneida","Farms (number)",150
"55087","55","087","Wisconsin\Outagamie","Farms (number)",1170
"55089","55","089","Wisconsin\Ozaukee","Farms (number)",416
"55091","55","091","Wisconsin\Pepin","Farms (number)",459
"55093","55","093","Wisconsin\Pierce","Farms (number)",1259
"55095","55","095","Wisconsin\Polk","Farms (number)",1313
"55097","55","097","Wisconsin\Portage","Farms (number)",969
"55099","55","099","Wisconsin\Price","Farms (number)",472
"55101","55","101","Wisconsin\Racine","Farms (number)",575
"55103","55","103","Wisconsin\Richland","Farms (number)",1260
"55105","55","105","Wisconsin\Rock","Farms (number)",1509
"55107","55","107","Wisconsin\Rusk","Farms (number)",529
"55109","55","109","Wisconsin\St. Croix","Farms (number)",1417
"55111","55","111","Wisconsin\Sauk","Farms (number)",1665
"55113","55","113","Wisconsin\Sawyer","Farms (number)",172
"55115","55","115","Wisconsin\Shawano","Farms (number)",1278
"55117","55","117","Wisconsin\Sheboygan","Farms (number)",986
"55119","55","119","Wisconsin\Taylor","Farms (number)",967
"55121","55","121","Wisconsin\Trempealeau","Farms (number)",1436
"55123","55","123","Wisconsin\Vernon","Farms (number)",2228
"55125","55","125","Wisconsin\Vilas","Farms (number)",47
"55127","55","127","Wisconsin\Walworth","Farms (number)",870
"55129","55","129","Wisconsin\Washburn","Farms (number)",405
"55131","55","131","Wisconsin\Washington","Farms (number)",712
"55133","55","133","Wisconsin\Waukesha","Farms (number)",557
"55135","55","135","Wisconsin\Waupaca","Farms (number)",1145
"55137","55","137","Wisconsin\Waushara","Farms (number)",592
"55139","55","139","Wisconsin\Winnebago","Farms (number)",1117
"55141","55","141","Wisconsin\Wood","Farms (number)",1067
